artist_name,track_name,track_id,popularity
Nipsey Hussle,Grinding All My Life,3R9j8urSPiBbapNbyuSYkE,77
Trippie Redd,Topanga,5aXgz1oKK8Q9z9xvTmSnrO,77
benny blanco,Roses (with Juice WRLD feat. Brendon Urie),5YAP8zpqj1eIX88makBjDe,78
Ella Mai,Trip,6CTWathupIiDs7U4InHnDA,79
Cardi B,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,77
XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah,79
Summer Walker,Girls Need Love (with Drake) - Remix,14SaZBTjxlorHJQxXh01Hu,78
Aminé,REEL IT IN,5qHirGR7M9tdm6C17DlzSY,78
Lil Uzi Vert,New Patek,0Fpen1PTuEnCmOJtUU9Iud,76
XXXTENTACION,the remedy for a broken heart (why am I so in love),4UKCKdYiLN6IMA5ZESUTL7,80
Shawn Mendes,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,83
Twenty One Pilots,Chlorine,23OXdR7YuUBVWh5hSnYJau,82
DJ Khaled,No Brainer,5WvAo7DNuPRmk4APhdPzi8,81
Tory Lanez,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,51w9Jbat1pLeWINGCpnQUR,78
Eli Young Band,Love Ain't,6uVzeU47Qzg0rrMneP5BNg,75
XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh,82
Anuel Aa,Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,86
Trippie Redd,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R,76
Imagine Dragons,Bad Liar,2RSHsoi04658QL5xgQVov3,87
Billie Eilish,bitches broken hearts,5t3Vk8bRKylx4fjj7qlbib,80
Migos,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,80
Marshmello,FRIENDS,08bNPGLD8AhKpnnERrAc6G,84
Rodney Atkins,Caught Up In The Country,2BgunkkepMPFpArQj1Dx5s,75
XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh,82
Ariana Grande,breathin,4OafepJy2teCjYJbvFE60J,81
Anuel Aa,Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,86
Trippie Redd,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R,76
Imagine Dragons,Bad Liar,2RSHsoi04658QL5xgQVov3,87
Billie Eilish,bitches broken hearts,5t3Vk8bRKylx4fjj7qlbib,80
Migos,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,80
Famous Dex,JAPAN,5PTG6rrL6EPFD9E2QMI2pl,77
Madison Beer,Hurts Like Hell (feat. Offset),3WefHNGtjexZvi66ZEx9u4,80
Juice WRLD,Legends,1Knctxx9vGZxpZfF66BIEa,77
Marshmello,FRIENDS,08bNPGLD8AhKpnnERrAc6G,84
Rodney Atkins,Caught Up In The Country,2BgunkkepMPFpArQj1Dx5s,75
Tiësto,Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,82
Travis Scott,STARGAZING,7wBJfHzpfI3032CSD7CE2m,79
Shordie Shordie,Bitchuary,4dV3okcjbQwTcg4ObIGr4N,74
Kendrick Lamar,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,80
Brett Young,Here Tonight,38nVuIj9mi5a8oopOJhSJk,75
Shoreline Mafia,"Bands (feat. Ohgeesy, Fenix Flexin & Master Kato)",1n8wr8tRHs5jmBxNWXedcn,75
Mac Miller,Self Care,5bJ1DrEM4hNCafcDd1oxHx,77
Lil Dicky,Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,79
6ix9ine,KIKA (feat. Tory Lanez),6Gy7rXB6Ku5vIWC7WGWsl3,80
Lil Wayne,Uproar,3wScL5W8H40zzCKN0atfBk,76
6LACK,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp,77
Kelsea Ballerini,Miss Me More,5NfJGBAL9mgFPRQxKJmiX2,74
Shawn Mendes,Lost In Japan,79esEXlqqmq0GPz0xQSZTV,81
Logic,Everyday,4EAV2cKiqKP5UPZmY6dejk,79
Trippie Redd,Taking A Walk,4mHgYpuGHu99Mw69E83CP2,76
John Mayer,New Light,3bH4HzoZZFq8UpZmI2AMgV,82
NOTD,So Close,7FjZU7XFs7P9jHI9Z0yRhK,81
Migos,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,76
AJR,Burn the House Down,0j7pdNXDzEVQST5Zcoh5xo,73
Kanye West,I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,81
Joji,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,78
"Earth, Wind & Fire",September,7Cuk8jsPPoNYQWXK9XRFvG,80
YoungBoy Never Broke Again,Outside Today,3sA7HKGzcKTVscdiTCrWpX,73
Anne-Marie,2002,2BgEsaKNfHUdlh97KmvFyo,83
Mitchell Tenpenny,Drunk Me,1G4cdOtF36ZCs6i2dZoC87,74
J. Cole,KOD,7yotKA30dwTKNEGomV9ZsI,76
Social House,Magic In The Hamptons (feat. Lil Yachty),2Yer0p7uB2lVBUAtANuuQp,75
Bad Bunny,NI BIEN NI MAL,278kSqsZIiYp8p3QjYAqa8,82
XXXTENTACION,whoa (mind in awe),7pdF27mSDuPWhppnHAmWHa,77
Jason Aldean,You Make It Easy,2ZxTjs4EdJl4Y9YByIiNoo,73
Migos,MotorSport,4wFjTWCunQFKtukqrNijEt,77
Billie Eilish,come out and play,7wC5eZcFS1Q1BsQ35DU6H4,79
NAV,Champion (feat. Travis Scott),6nO3tr47nr2P7f3hXb8JIo,76
Gunna,Sold Out Dates (feat. Lil Baby),55WLWX71YkHt2tSucNIf1g,74
Trippie Redd,Shake It Up,6yz0Jndhv0QjKdpcEMbOjz,74
Wisin & Yandel,Aullando,7BuHdm4lQqcyG3qTwdkxus,86
Post Malone,Ball For Me (feat. Nicki Minaj),6IaieqiCVvsNvEt6Y7yOFa,77
Eminem,Killshot,1jo3TwNGCXfNdB5uba3ZVv,78
YNW Melly,Mama Cry,2fSW54bA6x2iWePU7rpCiP,74
MadeinTYO,Chucky Cheese,0fABHG5a7RnqBlOKOwhWZD,74
Silk City,Electricity (with Dua Lipa),5N4erncE7kuUccm7zEmwzk,82
21 Savage,monster,2FUNBaa5DwItJtYEBgAblU,76
Kane Brown,Lose It,5tFgCPC2Hdw4qu9b7RkWhR,73
Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),7IBSffWIu7P2MC7kMwy2FM,75
Charlie Puth,Attention,5cF0dROlMOK5uNZtivgu50,81
LANCO,Greatest Love Story,2yQZwi1P8AkkxxFhQ8rMEK,73
Calvin Harris,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,85
Nipsey Hussle,Double Up (feat. Belly and Dom Kennedy),4iVD0fTHGxV9JWloujsL3s,74
Khalid,Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,77
Polo G,Finer Things,0KeQsDMe3GSRRXF46aNl2s,74
J. Cole,Kevin’s Heart,6tZ3b7ik1QDXFAZlXib0YZ,75
Bad Bunny,La Romana,1khmgu0pveJbkbpbkyvcQv,80
DaBaby,Next Song,0rrVn0KMlLHtAklzUrrfoj,72
Scotty McCreery,This Is It,34DFpyq5NJJ79GnGbbJH3p,73
Young Thug,Chanel (Go Get It) [feat. Gunna & Lil Baby],0kCBorRrKZkSztd9m0QI3r,75
Khalid,Saturday Nights,7vGGAJBkHKxKtOnGjQduDV,77
Migos,Narcos,0wbnC9AUenxp613TYaJsGK,76
Anuel Aa,Amanece,1LiN0Z98FkR1t0m8KmLcAH,86
