index,artist_name,artist_genres,album_name,track_name,All_genres,track_id,Popular,acousticness,danceability,duration_ms,energy,key,liveness,loudness,speechiness,tempo,time_signature,valence
205,Tyga,hip hop,Dip (feat. Nicki Minaj),Dip (feat. Nicki Minaj),"['Tyga', ['hip hop', 'pop', 'pop rap', 'rap', 'trap music']]",4hXDobvUaXyDFLnmecoY0z,2,0.0311,0.885,195992,0.5429999999999999,2,0.154,-6.337999999999999,0.2,99.026,4,0.43
434,Lady Gaga,pop,A Star Is Born Soundtrack,Always Remember Us This Way,"['Lady Gaga', ['dance pop', 'pop'], ['fake']]",74iZuPGwyL33VlTr6jTnab,2,0.299,0.5529999999999999,210200,0.502,0,0.764,-5.972,0.0409,129.976,4,0.29600000000000004
80,Nipsey Hussle,hip hop,Victory Lap,Grinding All My Life,"['Nipsey Hussle', ['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']]",3R9j8urSPiBbapNbyuSYkE,2,0.0491,0.6,175040,0.716,3,0.109,-5.5539999999999985,0.384,180.165,4,0.246
81,Trippie Redd,rap,A Love Letter To You 3,Topanga,"['Trippie Redd', ['rap', 'trap music']]",5aXgz1oKK8Q9z9xvTmSnrO,2,0.00587,0.755,215364,0.615,4,0.109,-8.245,0.0454,105.955,4,0.039
322,Shawn Mendes,pop,Shawn Mendes,Fallin' All In You,"['Shawn Mendes', ['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']]",5EYBryPOgIEPB7r5QIy6eG,2,0.405,0.853,235747,0.476,8,0.111,-6.6960000000000015,0.0361,92.038,4,0.7959999999999999
105,6LACK,r&b,East Atlanta Love Letter,Pretty Little Fears (feat. J. Cole),"['6LACK', ['alternative r&b', 'atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'trap music']]",4at3d5QWnlibMVN75ECDrp,2,0.711,0.611,240342,0.466,9,0.0847,-11.361,0.3720000000000001,192.08,4,0.223
149,Khalid,pop,Suncity,Saturday Nights,"['Khalid', ['pop'], ['pakistani pop'], ['somali pop']]",5kfNriitmkNE8mUbZ7gbq8,2,0.606,0.551,210667,0.44,10,0.11,-8.559,0.0985,167.923,4,0.341
100,Mac Miller,hip hop,Swimming,Self Care,"['Mac Miller', ['hip hop', 'pittsburgh rap', 'pop rap', 'rap']]",5bJ1DrEM4hNCafcDd1oxHx,2,0.3670000000000001,0.52,345133,0.5379999999999999,1,0.119,-8.109,0.206,141.894,4,0.177
71,Lil Tjay,rap,Brothers,Brothers,"['Lil Tjay', ['nyc rap', 'trap music']]",3OKjDHmSJVKOn6V4hCR8bq,2,0.695,0.677,210080,0.421,2,0.139,-10.19,0.14,85.33200000000002,5,0.609
78,Juice WRLD,rap,Goodbye & Good Riddance,Black & White,"['Juice WRLD', ['chicago rap']]",1fCeXjoRExPP2qwSBh2aST,2,0.0802,0.7759999999999999,186945,0.736,7,0.159,-4.612,0.247,147.946,4,0.233
137,Post Malone,pop,beerbongs & bentleys,Rich & Sad,"['Post Malone', ['pop', 'rap']]",2VdT56BGpdqNHUgOe1j5vc,2,0.18600000000000005,0.601,206453,0.59,2,0.0942,-5.001,0.0569,151.952,4,0.274
124,XXXTENTACION,rap,SKINS,whoa (mind in awe),"['XXXTENTACION', ['emo rap', 'miami hip hop']]",7pdF27mSDuPWhppnHAmWHa,2,0.653,0.735,157777,0.525,6,0.101,-2.939,0.0441,160.14700000000005,4,0.369
806,Thalía,pop,Valiente,No Me Acuerdo,"['Thalía', ['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical'], ['latin talent show']]",1G586ld1gbaECg4Bc6w40O,2,0.175,0.8370000000000001,217653,0.784,7,0.0897,-4.5310000000000015,0.101,94.036,4,0.748
125,Migos,hip hop,Culture II,MotorSport,"['Migos', ['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']]",4wFjTWCunQFKtukqrNijEt,2,0.0338,0.8959999999999999,303077,0.515,2,0.317,-5.395,0.183,138.016,4,0.174
155,Post Malone,pop,beerbongs & bentleys,Paranoid,"['Post Malone', ['pop', 'rap']]",3fpVWegR6YOS1Yk5HSMYIq,2,0.0379,0.61,221787,0.5539999999999999,0,0.166,-5.501,0.13699999999999998,159.85,4,0.244
61,Dan + Shay,country,Tequila,Tequila,"['Dan + Shay', ['contemporary country']]",7Il2yWQmsqKgSkLQvHTPUI,2,0.0292,0.474,195987,0.594,11,0.133,-5.756,0.0289,86.131,4,0.503
67,Playboi Carti,hip hop,Die Lit,Shoota (feat. Lil Uzi Vert),"['Playboi Carti', ['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']]",2BJSMvOGABRxokHKB0OI8i,2,0.191,0.674,153800,0.649,1,0.122,-8.433,0.199,153.069,4,0.48
4097,Felipe Araújo,pop,Por Inteiro (Primeira Metade) [Ao Vivo],Atrasadinha - Ao Vivo,"['Felipe Araújo', ['funk carioca', 'sertanejo pop', 'sertanejo universitario']]",5EKHbW7mXcAR4hCyS3YXjb,2,0.498,0.6759999999999999,172767,0.8440000000000001,7,0.866,-3.3960000000000004,0.109,159.969,4,0.716
72,Ski Mask The Slump God,hip hop,STOKELEY,Nuketown (feat. Juice WRLD),"['Ski Mask The Slump God', ['miami hip hop', 'trap music', 'underground hip hop']]",74lnM5V6ecvoTPV0fvptx9,2,0.113,0.8079999999999999,166400,0.617,10,0.7340000000000001,-9.32,0.442,149.96200000000005,4,0.632
398,Charli XCX,pop,1999,1999,"['Charli XCX', ['candy pop', 'dance pop', 'electropop', 'hip pop', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'tropical house']]",05mAIVLkIWc2d1UBYZBCp8,2,0.0227,0.7390000000000001,189000,0.742,7,0.229,-4.586,0.0329,124.016,4,0.659
122,Rae Sremmurd,hip hop,SR3MM,Powerglide (feat. Juicy J) - From SR3MM,"['Rae Sremmurd', ['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']]",1BuZAIO8WZpavWVbbq3Lci,2,0.0168,0.713,332301,0.831,1,0.118,-4.75,0.15,173.94799999999995,4,0.584
253,Ozuna,latin,Solita,Solita,"['Ozuna', ['reggaeton', 'trap latino']]",7rwX0O3RlxqqIjQM8evm5E,2,0.0564,0.807,311726,0.633,10,0.107,-6.016,0.0929,138.03799999999998,4,0.325
